Cost of Revenue,EBITDA,EPS,Gross Profit,Interest Expense,Net Income,Operating Income,Revenue,Shares Outstanding,acceptedDate,bottomLineNetIncome,cik,costAndExpenses,depreciationAndAmortization,ebit,epsDiluted,filingDate,fiscalYear,generalAndAdministrativeExpenses,incomeBeforeTax,incomeTaxExpense,interestIncome,netIncomeDeductions,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,netInterestIncome,nonOperatingIncomeExcludingInterest,operatingExpenses,otherAdjustmentsToNetIncome,otherExpenses,period,reportedCurrency,researchAndDevelopmentExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,symbol,totalOtherIncomeExpensesNet,weightedAverageShsOutDil,Date,Year,IsForecast
220960000000.0,144427000000.0,7.49,195201000000.0,0.0,112010000000.0,133050000000.0,416161000000.0,14948500000.0,10/31/2025 6:01:26 AM,112010000000.0,320193,283111000000.0,11698000000.0,132729000000.0,7.46,10/31/2025,1/1/2025,27601000000.0,132729000000.0,20719000000.0,0.0,0.0,112010000000.0,0.0,0.0,321000000.0,62151000000.0,0.0,0.0,FY,USD,34550000000.0,0.0,27601000000.0,AAPL,-321000000.0,15004697000.0,2025-09-27,2025,0
210352000000.0,134930000000.0,6.11,180683000000.0,0.0,93736000000.0,123216000000.0,391035000000.0,15343783000.0,11/1/2024 6:01:36 AM,93736000000.0,320193,267819000000.0,11445000000.0,123485000000.0,6.08,11/1/2024,1/1/2024,7458000000.0,123485000000.0,29749000000.0,0.0,0.0,93736000000.0,0.0,0.0,-269000000.0,57467000000.0,0.0,0.0,FY,USD,31370000000.0,18639000000.0,26097000000.0,AAPL,269000000.0,15408095000.0,2024-09-28,2024,0
214137000000.0,129188000000.0,6.16,169148000000.0,3933000000.0,96995000000.0,114301000000.0,383285000000.0,15744231000.0,11/2/2023 6:08:27 PM,96995000000.0,320193,268984000000.0,11519000000.0,117669000000.0,6.13,11/3/2023,1/1/2023,0.0,113736000000.0,16741000000.0,3750000000.0,0.0,96995000000.0,0.0,-183000000.0,-3368000000.0,54847000000.0,0.0,0.0,FY,USD,29915000000.0,0.0,24932000000.0,AAPL,-565000000.0,15812547000.0,2023-09-30,2023,0
223546000000.0,133138000000.0,6.15,170782000000.0,2931000000.0,99803000000.0,119437000000.0,394328000000.0,16215963000.0,10/27/2022 6:01:14 PM,99803000000.0,320193,274891000000.0,11104000000.0,122034000000.0,6.11,10/28/2022,1/1/2022,0.0,119103000000.0,19300000000.0,2825000000.0,0.0,99803000000.0,0.0,-106000000.0,-2597000000.0,51345000000.0,0.0,0.0,FY,USD,26251000000.0,0.0,25094000000.0,AAPL,-334000000.0,16325819000.0,2022-09-24,2022,0
212981000000.0,123136000000.0,5.67,152836000000.0,2645000000.0,94680000000.0,108949000000.0,365817000000.0,16701272000.0,10/28/2021 6:04:28 PM,94680000000.0,320193,256868000000.0,11284000000.0,111852000000.0,5.61,10/29/2021,1/1/2021,0.0,109207000000.0,14527000000.0,2843000000.0,0.0,94680000000.0,0.0,198000000.0,-2903000000.0,43887000000.0,0.0,0.0,FY,USD,21914000000.0,0.0,21973000000.0,AAPL,258000000.0,16864919000.0,2021-09-25,2021,0
217224400000.0,142861790761.76367,6.765691764638468,202119300000.0,2090393410.4782522,106835345879.32654,128632469598.77422,419343700000.0,15790749800.0,,,320193,,,,,,,,,,,,,,,,,,,FY,USD,,,,AAPL,,,2026-09-30,2026,1
217500800000.0,146179838489.97372,6.922828869456536,211582400000.0,2138944006.6153896,109316658585.80502,131620033112.08624,429083200000.0,15790749800.0,,,320193,,,,,,,,,,,,,,,,,,,FY,USD,,,,AAPL,,,2027-09-30,2027,1
217777200000.0,149497886218.18378,7.079965974274604,221045500000.0,2187494602.752527,111797971292.28351,134607596625.39825,438822700000.0,15790749800.0,,,320193,,,,,,,,,,,,,,,,,,,FY,USD,,,,AAPL,,,2028-09-30,2028,1
218053600000.0,152815933946.39383,7.237103079092671,230508600000.0,2236045198.8896646,114279283998.76198,137595160138.71027,448562200000.0,15790749800.0,,,320193,,,,,,,,,,,,,,,,,,,FY,USD,,,,AAPL,,,2029-09-30,2029,1
218330000000.0,156133981674.60388,7.394240183910739,239971700000.0,2284595795.026802,116760596705.24046,140582723652.0223,458301700000.0,15790749800.0,,,320193,,,,,,,,,,,,,,,,,,,FY,USD,,,,AAPL,,,2030-09-30,2030,1
